ID,Category
0,Leeche_Raw
1,Orange_Raw
2,Strawberry_Ripe
3,Strawberry_Raw
4,Mango_Raw
5,Banana_Ripe
6,Orange_Ripe
7,Apple_Ripe
8,Coconut_Raw
9,Coconut_Raw
10,Strawberry_Ripe
11,Orange_Raw
12,Mango_Raw
13,Guava_Ripe
14,Guava_Ripe
15,Orange_Ripe
16,Orange_Raw
17,Banana_Raw
18,Mango_Ripe
19,Mango_Raw
20,Guava_Raw
21,Banana_Ripe
22,Orange_Ripe
23,Pomengranate_Raw
24,Orange_Raw
25,Orange_Ripe
26,Apple_Raw
27,Orange_Ripe
28,Coconut_Ripe
29,Orange_Ripe
30,Banana_Ripe
31,Apple_Ripe
32,Mango_Raw
33,Banana_Raw
34,Mango_Raw
35,Coconut_Raw
36,Apple_Ripe
37,Orange_Raw
38,Orange_Raw
39,Pomengranate_Ripe
40,Guava_Raw
41,Papaya_Raw
42,Leeche_Raw
43,Papaya_Ripe
44,Leeche_Raw
45,Apple_Ripe
46,Leeche_Raw
47,Strawberry_Raw
48,Banana_Ripe
49,Guava_Ripe
50,Coconut_Raw
51,Mango_Ripe
52,Mango_Raw
53,Mango_Ripe
54,Apple_Ripe
55,Leeche_Ripe
56,Papaya_Ripe
57,Mango_Raw
58,Coconut_Raw
59,Papaya_Raw
60,Banana_Ripe
61,Coconut_Raw
62,Apple_Raw
63,Pomengranate_Raw
64,Pomengranate_Ripe
65,Apple_Raw
66,Mango_Raw
67,Guava_Raw
68,Guava_Raw
69,Pomengranate_Raw
70,Apple_Raw
71,Orange_Raw
72,Mango_Ripe
73,Guava_Ripe
74,Coconut_Raw
75,Guava_Raw
76,Coconut_Ripe
77,Guava_Raw
78,Guava_Ripe
79,Papaya_Raw
80,Papaya_Raw
81,Apple_Raw
82,Apple_Ripe
83,Coconut_Ripe
84,Guava_Raw
85,Apple_Raw
86,Mango_Raw
87,Papaya_Ripe
88,Banana_Ripe
89,Coconut_Raw
90,Pomengranate_Raw
91,Papaya_Ripe
92,Pomengranate_Raw
93,Apple_Ripe
94,Mango_Ripe
95,Apple_Raw
96,Papaya_Raw
97,Orange_Raw
98,Banana_Ripe
99,Pomengranate_Raw
100,Orange_Raw
101,Orange_Ripe
102,Pomengranate_Raw
103,Coconut_Ripe
104,Mango_Raw
105,Apple_Ripe
106,Apple_Raw
107,Papaya_Ripe
108,Apple_Ripe
109,Mango_Ripe
110,Coconut_Raw
111,Mango_Ripe
112,Strawberry_Raw
113,Papaya_Ripe
114,Mango_Ripe
115,Coconut_Ripe
116,Guava_Ripe
117,Apple_Raw
118,Orange_Raw
119,Guava_Raw
120,Papaya_Raw
121,Coconut_Raw
122,Pomengranate_Raw
123,Apple_Raw
124,Coconut_Raw
125,Orange_Ripe
126,Orange_Ripe
127,Apple_Ripe
128,Apple_Raw
129,Orange_Ripe
130,Coconut_Ripe
131,Guava_Ripe
132,Papaya_Raw
133,Papaya_Raw
134,Leeche_Raw
135,Leeche_Ripe
136,Banana_Ripe
137,Coconut_Raw
138,Mango_Ripe
139,Papaya_Raw
140,Coconut_Raw
141,Mango_Raw
142,Coconut_Raw
143,Orange_Raw
144,Strawberry_Raw
145,Coconut_Raw
146,Apple_Raw
147,Banana_Ripe
148,Pomengranate_Ripe
149,Pomengranate_Ripe
150,Mango_Ripe
151,Leeche_Raw
152,Strawberry_Ripe
153,Pomengranate_Ripe
154,Mango_Raw
155,Pomengranate_Raw
156,Strawberry_Ripe
157,Orange_Ripe
158,Mango_Ripe
159,Guava_Ripe
160,Coconut_Ripe
161,Strawberry_Raw
162,Leeche_Ripe
163,Banana_Ripe
164,Mango_Raw
165,Mango_Ripe
166,Coconut_Ripe
167,Apple_Raw
168,Apple_Raw
169,Orange_Raw
170,Apple_Raw
171,Leeche_Ripe
172,Apple_Ripe
173,Strawberry_Raw
174,Guava_Ripe
175,Apple_Raw
176,Pomengranate_Ripe
177,Coconut_Raw
178,Apple_Raw
179,Strawberry_Raw
180,Coconut_Ripe
181,Coconut_Raw
182,Banana_Raw
183,Mango_Raw
184,Leeche_Ripe
185,Banana_Ripe
186,Papaya_Raw
187,Leeche_Ripe
188,Mango_Ripe
189,Guava_Raw
190,Guava_Ripe
191,Guava_Ripe
192,Coconut_Raw
193,Leeche_Ripe
194,Coconut_Raw
195,Orange_Raw
196,Apple_Ripe
197,Banana_Raw
198,Papaya_Raw
199,Strawberry_Ripe
200,Strawberry_Ripe
201,Apple_Raw
202,Leeche_Ripe
203,Papaya_Ripe
204,Guava_Raw
205,Banana_Raw
206,Leeche_Raw
207,Banana_Ripe
